row,col,val
Gammaproteobacteria,Gammaproteobacteria,1.0
Gammaproteobacteria,Alphaproteobacteria,-0.7107437679889335
Gammaproteobacteria,Magnetococcia,-0.2206100150090629
Gammaproteobacteria,Zetaproteobacteria,0
Gammaproteobacteria,Bacteroidia,0.5539317144088284
Gammaproteobacteria,Rhodothermia,-0.7793939014787384
Gammaproteobacteria,Ignavibacteria,-0.6487767346778299
Gammaproteobacteria,Chlorobia,0.019196020879786627
Gammaproteobacteria,Kapabacteria,-0.7340249233944579
Gammaproteobacteria,UBA10030,-0.11628051799111433
Gammaproteobacteria,Kryptonia,0
Gammaproteobacteria,SZUA-365,0
Gammaproteobacteria,Actinobacteria,-0.8784119181776449
Gammaproteobacteria,Acidimicrobiia,-0.5244795513310155
Gammaproteobacteria,Coriobacteriia,0.49202952401408545
Gammaproteobacteria,Thermoleophilia,-0.8027424821891371
Gammaproteobacteria,Rubrobacteria,0
Gammaproteobacteria,UBA4738,0
Gammaproteobacteria,RBG-13-55-18,0
Gammaproteobacteria,UBA1414,0
Gammaproteobacteria,UBA9087,0
Gammaproteobacteria,Clostridia,0.568616932777567
Gammaproteobacteria,Thermoanaerobacteria,0.21881630381942435
Gammaproteobacteria,Thermovenabulia,0
Gammaproteobacteria,Mahellia,0
Gammaproteobacteria,Campylobacteria,0.5287705657826122
Gammaproteobacteria,Desulfurellia,0
Gammaproteobacteria,Bacilli,0.4339942139391238
Gammaproteobacteria,Negativicutes,0.6203059023454051
Gammaproteobacteria,Verrucomicrobiae,-0.7504445727989207
Gammaproteobacteria,Kiritimatiellae,-0.21969809723589676
Gammaproteobacteria,Lentisphaeria,-0.5375860539816776
Gammaproteobacteria,Desulfovibrionia,0.4992352867375221
Gammaproteobacteria,Polyangia,-0.8373273455780486
Gammaproteobacteria,Myxococcia,-0.8241593049533057
Gammaproteobacteria,UBA9160,-0.7890738312518917
Gammaproteobacteria,UBA796,-0.7256952376631173
Gammaproteobacteria,Bradimonadia,-0.7256952376631173
Gammaproteobacteria,UBA9042,-0.6084975988722049
Gammaproteobacteria,UBA727,0
Gammaproteobacteria,XYA12-FULL-58-9,0
Gammaproteobacteria,UBA6777,0
Gammaproteobacteria,Fusobacteriia,0.5956761003427046
Gammaproteobacteria,Acidobacteriae,-0.8474432161135907
Gammaproteobacteria,Vicinamibacteria,-0.8113160336358511
Gammaproteobacteria,Thermoanaerobaculia,-0.5140696259869277
Gammaproteobacteria,Holophagae,0.03242945959261961
Gammaproteobacteria,Blastocatellia,-0.7641256937245278
Gammaproteobacteria,Aminicenantia,-0.6400917035494644
Gammaproteobacteria,Mor1,-0.5099259028948795
Alphaproteobacteria,Gammaproteobacteria,-0.7107437679889335
Alphaproteobacteria,Alphaproteobacteria,1.0
Alphaproteobacteria,Magnetococcia,0.12723816723146267
Alphaproteobacteria,Zetaproteobacteria,0
Alphaproteobacteria,Bacteroidia,-0.8141718817947972
Alphaproteobacteria,Rhodothermia,0.8135772003441468
Alphaproteobacteria,Ignavibacteria,0.5945301569037437
Alphaproteobacteria,Chlorobia,0.04536150754890726
Alphaproteobacteria,Kapabacteria,0.7502451818442617
Alphaproteobacteria,UBA10030,0.09941609211607097
Alphaproteobacteria,Kryptonia,0
Alphaproteobacteria,SZUA-365,0
Alphaproteobacteria,Actinobacteria,0.807315888441772
Alphaproteobacteria,Acidimicrobiia,0.6452019689792966
Alphaproteobacteria,Coriobacteriia,-0.6007414347820298
Alphaproteobacteria,Thermoleophilia,0.8958440137188608
Alphaproteobacteria,Rubrobacteria,0
Alphaproteobacteria,UBA4738,0
Alphaproteobacteria,RBG-13-55-18,0
Alphaproteobacteria,UBA1414,0
Alphaproteobacteria,UBA9087,0
Alphaproteobacteria,Clostridia,-0.7431959070591379
Alphaproteobacteria,Thermoanaerobacteria,-0.3713283682172236
Alphaproteobacteria,Thermovenabulia,0
Alphaproteobacteria,Mahellia,0
Alphaproteobacteria,Campylobacteria,-0.8662386635490397
Alphaproteobacteria,Desulfurellia,0
Alphaproteobacteria,Bacilli,-0.46768608681472296
Alphaproteobacteria,Negativicutes,-0.7715125271424387
Alphaproteobacteria,Verrucomicrobiae,0.6649571267873291
Alphaproteobacteria,Kiritimatiellae,0.07367713913644469
Alphaproteobacteria,Lentisphaeria,0.23828578465449285
Alphaproteobacteria,Desulfovibrionia,-0.6767420021953672
Alphaproteobacteria,Polyangia,0.8764611225042575
Alphaproteobacteria,Myxococcia,0.8800325432975638
Alphaproteobacteria,UBA9160,0.7560300050824111
Alphaproteobacteria,UBA796,0.7409710336578861
Alphaproteobacteria,Bradimonadia,0.7409710336578861
Alphaproteobacteria,UBA9042,0.690421803789282
Alphaproteobacteria,UBA727,0
Alphaproteobacteria,XYA12-FULL-58-9,0
Alphaproteobacteria,UBA6777,0
Alphaproteobacteria,Fusobacteriia,-0.8216763408853429
Alphaproteobacteria,Acidobacteriae,0.8911047707083934
Alphaproteobacteria,Vicinamibacteria,0.9302552923145149
Alphaproteobacteria,Thermoanaerobaculia,0.6443283764471615
Alphaproteobacteria,Holophagae,-0.27672919836684345
Alphaproteobacteria,Blastocatellia,0.8489749075172592
Alphaproteobacteria,Aminicenantia,0.5969928907433699
Alphaproteobacteria,Mor1,0.46780108154891425
Magnetococcia,Gammaproteobacteria,-0.2206100150090629
Magnetococcia,Alphaproteobacteria,0.12723816723146267
Magnetococcia,Magnetococcia,1.0
Magnetococcia,Zetaproteobacteria,0
Magnetococcia,Bacteroidia,-0.10735504304910108
Magnetococcia,Rhodothermia,0.27459150813315153
Magnetococcia,Ignavibacteria,0.06518860742151608
Magnetococcia,Chlorobia,0.06244845216610344
Magnetococcia,Kapabacteria,0.37297810586647434
Magnetococcia,UBA10030,-0.052071375069875615
Magnetococcia,Kryptonia,0
Magnetococcia,SZUA-365,0
Magnetococcia,Actinobacteria,0.22806951220812882
