,              Acidovorax_B defluvii,              Acidovorax_B carolinensis,              Acidovorax_B soli,              Acidovorax_B sp002176815,              Acidovorax_B delafieldii_A,              Acidovorax_B delafieldii_B,              Acidovorax_D temperans,              Acidovorax_D sp000302535,              Acidovorax_D sp002754495,              Acidovorax_D sp001411535,              Acidovorax_D sp001633105,              Acidovorax_D sp002754175,              Acidovorax_D kalamii,              Acidovorax_D sp000238595,              Acidovorax_D delafieldii_A,              Acidovorax_D sp003058055,              Acidovorax_D radicis,              Acidovorax_D sp001714725,              Acidovorax_D sp003060895,              Acidovorax_D sp002797445,              Acidovorax_D sp001464865,              Acidovorax_D sp001422735,              Acidovorax_D sp001424425,              Rhodoferax sp002251855,              Rhodoferax sp002943465,              Rhodoferax sp002256115,              Rhodoferax sp001795455,              Rhodoferax saidenbachensis,              Rhodoferax sp001770935,              Rhodoferax fermentans,              Rhodoferax ferrireducens_A,              Rhodoferax ferrireducens,              Rhodoferax antarcticus,              Rhodoferax sp002413825,              Rhodoferax sp002163715,              Rhodoferax sp002381045,              Rhodoferax sp001871515,              Rhodoferax sp001771065,              Rhodoferax sp002786915,              Rhodoferax sp002390825,              Rhodoferax sp002842265,              Rhodoferax sp002789915,              Rhodoferax sp002784245,              Rhodoferax sp002422455,              Rhodoferax sp003133245,              Hydrogenophaga pseudoflava,              Hydrogenophaga sp002001205,              Hydrogenophaga sp003509765,              Hydrogenophaga flava
              Acidovorax_B defluvii,1.0,0.9702242270716892,0.9059096306358696,0.9227831614968812,0.7445714069390433,0.8595733581227947,0.15375396883047399,0.2819253528219368,0.4776179925795006,-0.17728018313192345,0.5500634849149969,-0.0346015213844965,0.2008538502822345,0.7436276792511527,0.31117605565010314,0.25059146718210173,0.34627585673165745,0.6273198872282156,0.1647407982148174,0.590397615621351,0.6856367647605597,0.4262765316634793,0.4262765316634793,0.32967220304275346,0.4241146638733412,0.5851546682057994,0.32023788644649004,0.5036515512065858,0.47647693044445477,0.849789008366986,0.7941283954552123,0.5435614633340095,0.7959801485488,0.4071834981456757,-0.12293427689831062,0.551146067019248,0.6986878893719519,0.603661984932924,0.6736115645958589,0.24148454033258956,0.5980990441279784,0.5818016877282367,0.530856264753979,0.5954365537006874,0.7253103255378361,-0.0009355823777535322,0.30819851047990837,0.4493840444819543,-0.06244721237746908
              Acidovorax_B carolinensis,0.9702242270716892,1.0,0.9394592708161091,0.9572316279204174,0.8064882226238693,0.890577524998525,0.2329535929779276,0.37308881453081016,0.5097925089545065,-0.18666214010712778,0.5495726306214906,0.00900000486202489,0.2079946613749433,0.8308210355994546,0.3966431483007873,0.3284814641398895,0.3551951667197245,0.7291741204763963,0.17616401126149947,0.6228137225331827,0.730968153824656,0.48471180782520745,0.48471180782520745,0.3610609294375981,0.45522013045180415,0.6034280612306592,0.33622206690756945,0.541904309586345,0.5046587359475126,0.862328842856124,0.823979426109501,0.577269317016294,0.8331344377867057,0.46661754016924994,-0.11502003307328142,0.5968290927230898,0.7548654978372275,0.668272781582056,0.722920881589273,0.2651397702442511,0.6496721514000311,0.6522958453199769,0.5838544955528737,0.6070239614508649,0.7219099665438796,-0.0009327252496729322,0.2798004714529616,0.4501066670171107,-0.11661751632215671
              Acidovorax_B soli,0.9059096306358696,0.9394592708161091,1.0,0.889695035907913,0.8171068775959694,0.9184131271388599,0.4646959144768188,0.5861304782166245,0.528224154490372,-0.3235618159762362,0.3932441298749514,-0.046741638950746366,0.0475530833628245,0.884635278795442,0.5960079200877894,0.3258599322221793,0.20535235083405398,0.7901859620764581,0.050886539474047844,0.5481177661704857,0.7062093714251823,0.47705242917894286,0.47705242917894286,0.21743008269949834,0.2969662533097342,0.48430784523775067,0.15977934963164223,0.3822461983780081,0.3411888304488213,0.7858231892360564,0.7596431506398829,0.45145885186586593,0.7931001708002173,0.3472128898019439,-0.19489512649221732,0.43424694892917964,0.728974407710271,0.667487230939902,0.7295239408056878,0.16790804030433185,0.6255698438740939,0.6604005417837476,0.5724021359452824,0.5501940898153189,0.6407717664033296,-0.15471222902538567,0.09360036783762499,0.2705580475892156,-0.28871093819138977
              Acidovorax_B sp002176815,0.9227831614968812,0.9572316279204174,0.889695035907913,1.0,0.7695729732221908,0.8457986355776796,0.13504956045800035,0.2850166699538124,0.42070443088807596,-0.13738715846537072,0.5405908256909523,0.01819549462633851,0.23882004023635464,0.7792785839136159,0.29985077390423653,0.3484748272326595,0.4048782598039808,0.6844781193904458,0.20473783633462103,0.6354544440803294,0.6892636502931955,0.46892870547185506,0.46892870547185506,0.4038729146989203,0.5150822219173816,0.653714398027132,0.4029776050057703,0.6571594299950554,0.6219589093954487,0.8810232169594542,0.8375204030572881,0.7147206158268617,0.8420181795175439,0.5832471070083793,-0.1337386699423799,0.6942055291237031,0.7181919016009405,0.6558555959597382,0.7090385976323117,0.26619908303862166,0.6576137633173358,0.6428402653116825,0.5959548330463571,0.6343583319150219,0.7510506039550197,0.0679689730340698,0.3704181647555408,0.5535616695516753,-0.022525804514681468
              Acidovorax_B delafieldii_A,0.7445714069390433,0.8064882226238693,0.8171068775959694,0.7695729732221908,1.0,0.836228413559587,0.34034438463578215,0.5323590268212012,0.58077703162613,-0.007619313993862464,0.502404175729562,0.20172913520496344,0.21271134814408166,0.7803673992333168,0.5236554261902685,0.4337600780507984,0.3966432105540801,0.7376656553099991,0.23425892331198564,0.6498362374403583,0.7732580492266974,0.7408609113199426,0.7408609113199426,0.3241380405079425,0.3928865156318549,0.5095284982739043,0.2826141827663347,0.4330670929350899,0.4234986839968166,0.7676084283905966,0.798438055589586,0.42286289824569406,0.8189840409989816,0.4628479569441363,0.021327765249282406,0.5048812476886048,0.8163643304683011,0.7939234156076987,0.7909221811310067,0.34665001343894136,0.7228220421181492,0.7862554727129807,0.6958013351657271,0.5273167317503797,0.6105350501833369,-0.018287256238045845,0.0953211565124866,0.21621529434942247,-0.17855106866430784
              Acidovorax_B delafieldii_B,0.8595733581227947,0.890577524998525,0.9184131271388599,0.8457986355776796,0.836228413559587,1.0,0.32493825561911427,0.41796003681885,0.4220318974121567,-0.3517265210662274,0.3432062939686818,-0.15460129876470158,-0.01416199165591261,0.7472393158756495,0.46770200821578506,0.16210863705367512,0.12129076102028129,0.6462604606428224,-0.020923825733403435,0.45999133114944224,0.6211845346791567,0.4077108990293759,0.4077108990293759,0.2175068494594384,0.3010238512392907,0.49270470342562706,0.17330452618121225,0.3783939259506283,0.3703750198411097,0.802824473686205,0.7713914118024591,0.4776584824760779,0.8234759378467118,0.3748811785895502,-0.20645724983055516,0.42674545906176786,0.8007897418854448,0.7212564014483188,0.8121788259420855,0.13850261842670075,0.6451012084740856,0.6998463142358108,0.594905572655381,0.44508928808986215,0.6394890336343692,-0.1655537854978327,0.0852047510803656,0.2524418759261219,-0.27785263298805735
              Acidovorax_D temperans,0.15375396883047399,0.2329535929779276,0.4646959144768188,0.13504956045800035,0.34034438463578215,0.32493825561911427,1.0,0.907240661676119,0.3324226403615842,-0.42050047237265187,-0.20406447211715392,-0.0385192448952476,-0.3334378189949597,0.6083396741193884,0.9672690665359209,0.2676888369644532,-0.224668737897738,0.6257335355980331,-0.25197187172953084,-0.029793828208451452,0.3377499798536294,0.2636087136270471,0.2636087136270471,-0.3282159506969374,-0.3527387343006804,-0.13334758528912588,-0.4466119917057479,-0.3573981709289934,-0.36699036347541747,0.08686422329599745,0.13566253904314624,-0.3335409849836436,0.1259294590298222,-0.23733936246271084,-0.2540256284471057,-0.16454733620035084,0.20000679027992002,0.18250416692830224,0.26355351518495707,-0.1525196370314851,0.12428404735265942,0.1890202653653574,0.1420211071088428,0.13908481747122234,-0.037168891345521475,-0.4420759202905081,-0.4476945019864987,-0.32136662071530686,-0.5909741971983946
              Acidovorax_D sp000302535,0.2819253528219368,0.37308881453081016,0.5861304782166245,0.2850166699538124,0.5323590268212012,0.41796003681885,0.907240661676119,1.0,0.5162910469095575,-0.26708527281160516,0.0510602568723387,0.17274053050643173,-0.10616195678483731,0.7238843343501347,0.9228739664408464,0.4791012647103564,-0.014915621835637919,0.7481167026740368,-0.02106233275994848,0.20352033876396108,0.4872015895691578,0.44974183097066545,0.44974183097066545,-0.09957857313241533,-0.12145879180804826,-0.004161635452247902,-0.21872227374470718,-0.15705018404660148,-0.20376455613978992,0.20840663491622147,0.29600989126960925,-0.18416230343464624,0.2963930988289878,-0.0787181796354544,-0.07997941731564509,-0.049464141723150015,0.3649783281015808,0.3403694931755722,0.3918992657268678,0.04799146353381636,0.2832826947055652,0.35078293998146154,0.29699077009202746,0.20724365547961282,0.09491348357309744,-0.33428360234518223,-0.3743827621731936,-0.22797697671888742,-0.5324805270285108
              Acidovorax_D sp002754495,0.4776179925795006,0.5097925089545065,0.528224154490372,0.42070443088807596,0.58077703162613,0.4220318974121567,0.3324226403615842,0.5162910469095575,1.0,0.2600522944698409,0.7368376509358464,0.6567020187656791,0.6179925225291215,0.603145704863419,0.4480829327572125,0.6474498904315789,0.5437758327404593,0.6264943984361433,0.6481054263422515,0.5566824397208857,0.7210633887320146,0.5930794785657785,0.5930794785657785,0.606371851948495,0.5130942269410642,0.2522389448879284,0.46546647990225404,0.2671817651097717,0.21416807415532774,0.43650696617974616,0.43529124450511214,0.06906446153650804,0.46008998670079193,0.0956329792474019,0.6622265141435396,0.1911852567479791,0.46425950497523255,0.4484590336493414,0.4707262662919465,0.7739129521253277,0.4210295128675866,0.450806963488438,0.3971168333963473,0.2942489841097695,0.29852154676987885,-0.10986167131202601,-0.055988127253581044,-0.02361680883427117,-0.2059572754974329
              Acidovorax_D sp001411535,-0.17728018313192345,-0.18666214010712778,-0.3235618159762362,-0.13738715846537072,-0.007619313993862464,-0.3517265210662274,-0.42050047237265187,-0.26708527281160516,0.2600522944698409,1.0,0.5508332375874674,0.8285089251609795,0.7855386125081302,-0.1269891580931557,-0.32981459346711917,0.5661972644511292,0.8058137665417846,-0.07765895188963184,0.800165546951801,0.4774877102571308,0.24976098749493197,0.4048944532817481,0.4048944532817481,0.49117189065516365,0.44231261567954316,0.12087381173669265,0.5465445127830482,0.3305091524054368,0.3497196368770034,-0.10088548038210861,-0.09067226360411865,0.062012180676477374,-0.04684353431850628,0.1791849626393829,0.6483036333106172,0.16988391334455516,-0.009242353091404323,0.007484945609484107,-0.022285158244729864,0.5858423457453413,0.053614183389866746,0.013908506494168986,0.046053355579282834,0.048546031958444646,-0.1026551101985197,0.5244588473594631,0.3233925692116858,0.17552512320315317,0.5864602873521639
