row,col,val
EX4484-135,EX4484-135,1
EX4484-135,SZUA-401,0
EX4484-135,UBA2400,0
EX4484-135,UBA1135,0
EX4484-135,HRBIN36,0
EX4484-135,UBA12481,0
EX4484-135,UBA6187,0
EX4484-135,UBA6266,0
EX4484-135,Methanocullaceae,0
EX4484-135,Thiovulaceae,0
EX4484-135,CG1-02-57-44,0
EX4484-135,UBA2588,0
EX4484-135,AqS2,0
EX4484-135,Thermodesulfobacteriaceae,0
EX4484-135,UBA9615,0
EX4484-135,UBA4068,0
EX4484-135,UBA7662,0
EX4484-135,Angustibacteraceae,0
EX4484-135,Savagellaceae,0
EX4484-135,UBA2361,0
EX4484-135,UBA2798,0
EX4484-135,MFWN01,0
EX4484-135,Acidithiobacillaceae,0
EX4484-135,Peptoniphilaceae,0
EX4484-135,Francisellaceae,0
EX4484-135,Alicyclobacillaceae,0
EX4484-135,GCA-2861595,0
EX4484-135,UBA998,0
EX4484-135,CPR2,0
EX4484-135,CSP1-3,0
EX4484-135,UBA12157,0
EX4484-135,Acholeplasmataceae,0
EX4484-135,TMED25,0
EX4484-135,UBA11606,0
EX4484-135,DG-74-3,0
EX4484-135,GWC2-36-17,0
EX4484-135,UBA10161,0
EX4484-135,UBA6109,0
EX4484-135,HTCC2089,0
EX4484-135,Flammeovirgaceae,0
EX4484-135,Heliobacteriaceae,0
EX4484-135,32-111,0
EX4484-135,Peptococcaceae,0
EX4484-135,Fen-1058,0
EX4484-135,Marinicellaceae,0
EX4484-135,GWF2-57-35,0
EX4484-135,Caedimonadaceae,0
EX4484-135,Ruminiclostridiaceae_A,0
EX4484-135,UBA3495,0
EX4484-135,GCA-002707645,0
SZUA-401,EX4484-135,0
SZUA-401,SZUA-401,1
SZUA-401,UBA2400,0
SZUA-401,UBA1135,0
SZUA-401,HRBIN36,0
SZUA-401,UBA12481,0
SZUA-401,UBA6187,0
SZUA-401,UBA6266,0
SZUA-401,Methanocullaceae,0
SZUA-401,Thiovulaceae,0
SZUA-401,CG1-02-57-44,0
SZUA-401,UBA2588,0
SZUA-401,AqS2,0
SZUA-401,Thermodesulfobacteriaceae,0
SZUA-401,UBA9615,0
SZUA-401,UBA4068,0
SZUA-401,UBA7662,0
SZUA-401,Angustibacteraceae,0
SZUA-401,Savagellaceae,0
SZUA-401,UBA2361,0
SZUA-401,UBA2798,0
SZUA-401,MFWN01,0
SZUA-401,Acidithiobacillaceae,0
SZUA-401,Peptoniphilaceae,0
SZUA-401,Francisellaceae,0
SZUA-401,Alicyclobacillaceae,0
SZUA-401,GCA-2861595,0
SZUA-401,UBA998,0
SZUA-401,CPR2,0
SZUA-401,CSP1-3,0
SZUA-401,UBA12157,0
SZUA-401,Acholeplasmataceae,0
SZUA-401,TMED25,0
SZUA-401,UBA11606,0
SZUA-401,DG-74-3,0
SZUA-401,GWC2-36-17,0
SZUA-401,UBA10161,0
SZUA-401,UBA6109,0
SZUA-401,HTCC2089,0
SZUA-401,Flammeovirgaceae,0
SZUA-401,Heliobacteriaceae,0
SZUA-401,32-111,0
SZUA-401,Peptococcaceae,0
SZUA-401,Fen-1058,0
SZUA-401,Marinicellaceae,0
SZUA-401,GWF2-57-35,0
SZUA-401,Caedimonadaceae,0
SZUA-401,Ruminiclostridiaceae_A,0
SZUA-401,UBA3495,0
SZUA-401,GCA-002707645,0
UBA2400,EX4484-135,0
UBA2400,SZUA-401,0
UBA2400,UBA2400,1
UBA2400,UBA1135,0
UBA2400,HRBIN36,0
UBA2400,UBA12481,0
UBA2400,UBA6187,0
UBA2400,UBA6266,0
UBA2400,Methanocullaceae,0
UBA2400,Thiovulaceae,0
UBA2400,CG1-02-57-44,0
UBA2400,UBA2588,0
UBA2400,AqS2,0
UBA2400,Thermodesulfobacteriaceae,0
UBA2400,UBA9615,0
UBA2400,UBA4068,0
UBA2400,UBA7662,0
UBA2400,Angustibacteraceae,0
UBA2400,Savagellaceae,0
UBA2400,UBA2361,0
UBA2400,UBA2798,0
UBA2400,MFWN01,0
UBA2400,Acidithiobacillaceae,0
UBA2400,Peptoniphilaceae,0
UBA2400,Francisellaceae,0
UBA2400,Alicyclobacillaceae,0
UBA2400,GCA-2861595,0
UBA2400,UBA998,0
UBA2400,CPR2,0
UBA2400,CSP1-3,0
UBA2400,UBA12157,0
UBA2400,Acholeplasmataceae,0
UBA2400,TMED25,0
UBA2400,UBA11606,0
UBA2400,DG-74-3,0
UBA2400,GWC2-36-17,0
UBA2400,UBA10161,0
UBA2400,UBA6109,0
UBA2400,HTCC2089,0
UBA2400,Flammeovirgaceae,0
UBA2400,Heliobacteriaceae,0
UBA2400,32-111,0
UBA2400,Peptococcaceae,0
UBA2400,Fen-1058,0
