row,col,val
SAR86,SAR86,1
SAR86,Campylobacterales,0
SAR86,XYA12-FULL-58-9,0
SAR86,UBA9655,0
SAR86,Absconditabacterales,0
SAR86,Ignicoccales,0
SAR86,Cytophagales,0
SAR86,Bryobacterales,0
SAR86,UBA2169,0
SAR86,Ammonifexales,0
SAR86,2-02-FULL-40-12,0
SAR86,Ryanbacterales,0
SAR86,UBA7950,0
SAR86,UBA4473,0
SAR86,Rickettsiales,0
SAR86,UBA6215,0
SAR86,Streptomycetales,0
SAR86,SZUA-140,0
SAR86,Methanocellales,0
SAR86,HP12,0
SAR86,SW-10-69-26,0
SAR86,UBA12178,0
SAR86,UBA11654,0
SAR86,GCA-2691085,0
SAR86,UBA1551,0
SAR86,O2-12-FULL-43-9,0
SAR86,UM-FILTER-43-11,0
SAR86,Oceanibaculales,0
SAR86,Caulobacterales,0
SAR86,2-12-FULL-37-12,0
SAR86,UBA10353,0
SAR86,Haliangiales,0
SAR86,Aminicenantales,0
SAR86,UBA920,0
SAR86,Micavibrionales,0
SAR86,Methylomirabilales,0
SAR86,UBA5829,0
SAR86,UBA6919,0
SAR86,Paracaedibacterales,0
SAR86,UBA164,0
SAR86,HRBIN11,0
SAR86,Verrucomicrobiales,0
SAR86,Mor1,0
SAR86,Entotheonellales,0
SAR86,SG8-5,0
SAR86,Brevibacillales,0
SAR86,UBA5301,0
SAR86,UBA1113,0
SAR86,Latescibacterales,0
SAR86,UBA1845,0
Campylobacterales,SAR86,0
Campylobacterales,Campylobacterales,1
Campylobacterales,XYA12-FULL-58-9,0
Campylobacterales,UBA9655,0
Campylobacterales,Absconditabacterales,0
Campylobacterales,Ignicoccales,0
Campylobacterales,Cytophagales,-0.6399822039729579
Campylobacterales,Bryobacterales,-0.7227480890186985
Campylobacterales,UBA2169,0
Campylobacterales,Ammonifexales,0
Campylobacterales,2-02-FULL-40-12,0
Campylobacterales,Ryanbacterales,0
Campylobacterales,UBA7950,0
Campylobacterales,UBA4473,0
Campylobacterales,Rickettsiales,-0.42110898636473393
Campylobacterales,UBA6215,0
Campylobacterales,Streptomycetales,-0.7678151733159118
Campylobacterales,SZUA-140,0
Campylobacterales,Methanocellales,0
Campylobacterales,HP12,0
Campylobacterales,SW-10-69-26,0
Campylobacterales,UBA12178,0
Campylobacterales,UBA11654,0
Campylobacterales,GCA-2691085,0
Campylobacterales,UBA1551,0
Campylobacterales,O2-12-FULL-43-9,0
Campylobacterales,UM-FILTER-43-11,0
Campylobacterales,Oceanibaculales,0
Campylobacterales,Caulobacterales,-0.7583853974041445
Campylobacterales,2-12-FULL-37-12,0
Campylobacterales,UBA10353,0
Campylobacterales,Haliangiales,-0.5757541491700079
Campylobacterales,Aminicenantales,-0.45359032112330205
Campylobacterales,UBA920,0
Campylobacterales,Micavibrionales,-0.4545356510386717
Campylobacterales,Methylomirabilales,0
Campylobacterales,UBA5829,0
Campylobacterales,UBA6919,0
Campylobacterales,Paracaedibacterales,0
Campylobacterales,UBA164,0
Campylobacterales,HRBIN11,0
Campylobacterales,Verrucomicrobiales,-0.3562524956259648
Campylobacterales,Mor1,0
Campylobacterales,Entotheonellales,0
Campylobacterales,SG8-5,0
Campylobacterales,Brevibacillales,-0.26564004285468257
Campylobacterales,UBA5301,0
Campylobacterales,UBA1113,0
Campylobacterales,Latescibacterales,0
Campylobacterales,UBA1845,0
XYA12-FULL-58-9,SAR86,0
XYA12-FULL-58-9,Campylobacterales,0
XYA12-FULL-58-9,XYA12-FULL-58-9,1
XYA12-FULL-58-9,UBA9655,0
XYA12-FULL-58-9,Absconditabacterales,0
XYA12-FULL-58-9,Ignicoccales,0
XYA12-FULL-58-9,Cytophagales,0
XYA12-FULL-58-9,Bryobacterales,0
XYA12-FULL-58-9,UBA2169,0
XYA12-FULL-58-9,Ammonifexales,0
XYA12-FULL-58-9,2-02-FULL-40-12,0
XYA12-FULL-58-9,Ryanbacterales,0
XYA12-FULL-58-9,UBA7950,0
XYA12-FULL-58-9,UBA4473,0
XYA12-FULL-58-9,Rickettsiales,0
XYA12-FULL-58-9,UBA6215,0
XYA12-FULL-58-9,Streptomycetales,0
XYA12-FULL-58-9,SZUA-140,0
XYA12-FULL-58-9,Methanocellales,0
XYA12-FULL-58-9,HP12,0
XYA12-FULL-58-9,SW-10-69-26,0
XYA12-FULL-58-9,UBA12178,0
XYA12-FULL-58-9,UBA11654,0
XYA12-FULL-58-9,GCA-2691085,0
XYA12-FULL-58-9,UBA1551,0
XYA12-FULL-58-9,O2-12-FULL-43-9,0
XYA12-FULL-58-9,UM-FILTER-43-11,0
XYA12-FULL-58-9,Oceanibaculales,0
XYA12-FULL-58-9,Caulobacterales,0
XYA12-FULL-58-9,2-12-FULL-37-12,0
XYA12-FULL-58-9,UBA10353,0
XYA12-FULL-58-9,Haliangiales,0
XYA12-FULL-58-9,Aminicenantales,0
XYA12-FULL-58-9,UBA920,0
XYA12-FULL-58-9,Micavibrionales,0
XYA12-FULL-58-9,Methylomirabilales,0
XYA12-FULL-58-9,UBA5829,0
XYA12-FULL-58-9,UBA6919,0
XYA12-FULL-58-9,Paracaedibacterales,0
XYA12-FULL-58-9,UBA164,0
XYA12-FULL-58-9,HRBIN11,0
XYA12-FULL-58-9,Verrucomicrobiales,0
XYA12-FULL-58-9,Mor1,0
XYA12-FULL-58-9,Entotheonellales,0
XYA12-FULL-58-9,SG8-5,0
XYA12-FULL-58-9,Brevibacillales,0
XYA12-FULL-58-9,UBA5301,0
XYA12-FULL-58-9,UBA1113,0
XYA12-FULL-58-9,Latescibacterales,0
XYA12-FULL-58-9,UBA1845,0
UBA9655,SAR86,0
UBA9655,Campylobacterales,0
UBA9655,XYA12-FULL-58-9,0
UBA9655,UBA9655,1
UBA9655,Absconditabacterales,0
UBA9655,Ignicoccales,0
UBA9655,Cytophagales,0
UBA9655,Bryobacterales,0
UBA9655,UBA2169,0
UBA9655,Ammonifexales,0
UBA9655,2-02-FULL-40-12,0
UBA9655,Ryanbacterales,0
UBA9655,UBA7950,0
UBA9655,UBA4473,0
UBA9655,Rickettsiales,0
UBA9655,UBA6215,0
UBA9655,Streptomycetales,0
UBA9655,SZUA-140,0
UBA9655,Methanocellales,0
UBA9655,HP12,0
UBA9655,SW-10-69-26,0
UBA9655,UBA12178,0
UBA9655,UBA11654,0
UBA9655,GCA-2691085,0
UBA9655,UBA1551,0
UBA9655,O2-12-FULL-43-9,0
UBA9655,UM-FILTER-43-11,0
UBA9655,Oceanibaculales,0
UBA9655,Caulobacterales,0
UBA9655,2-12-FULL-37-12,0
UBA9655,UBA10353,0
UBA9655,Haliangiales,0
UBA9655,Aminicenantales,0
UBA9655,UBA920,0
UBA9655,Micavibrionales,0
UBA9655,Methylomirabilales,0
UBA9655,UBA5829,0
UBA9655,UBA6919,0
UBA9655,Paracaedibacterales,0
UBA9655,UBA164,0
UBA9655,HRBIN11,0
UBA9655,Verrucomicrobiales,0
UBA9655,Mor1,0
UBA9655,Entotheonellales,0
UBA9655,SG8-5,0
UBA9655,Brevibacillales,0
UBA9655,UBA5301,0
UBA9655,UBA1113,0
UBA9655,Latescibacterales,0
UBA9655,UBA1845,0
Absconditabacterales,SAR86,0
Absconditabacterales,Campylobacterales,0
Absconditabacterales,XYA12-FULL-58-9,0
Absconditabacterales,UBA9655,0
Absconditabacterales,Absconditabacterales,1
Absconditabacterales,Ignicoccales,0
Absconditabacterales,Cytophagales,0
Absconditabacterales,Bryobacterales,0
Absconditabacterales,UBA2169,0
Absconditabacterales,Ammonifexales,0
Absconditabacterales,2-02-FULL-40-12,0
Absconditabacterales,Ryanbacterales,0
Absconditabacterales,UBA7950,0
Absconditabacterales,UBA4473,0
Absconditabacterales,Rickettsiales,0
Absconditabacterales,UBA6215,0
Absconditabacterales,Streptomycetales,0
Absconditabacterales,SZUA-140,0
Absconditabacterales,Methanocellales,0
Absconditabacterales,HP12,0
Absconditabacterales,SW-10-69-26,0
Absconditabacterales,UBA12178,0
Absconditabacterales,UBA11654,0
Absconditabacterales,GCA-2691085,0
Absconditabacterales,UBA1551,0
Absconditabacterales,O2-12-FULL-43-9,0
Absconditabacterales,UM-FILTER-43-11,0
Absconditabacterales,Oceanibaculales,0
Absconditabacterales,Caulobacterales,0
Absconditabacterales,2-12-FULL-37-12,0
Absconditabacterales,UBA10353,0
Absconditabacterales,Haliangiales,0
Absconditabacterales,Aminicenantales,0
Absconditabacterales,UBA920,0
Absconditabacterales,Micavibrionales,0
Absconditabacterales,Methylomirabilales,0
Absconditabacterales,UBA5829,0
Absconditabacterales,UBA6919,0
Absconditabacterales,Paracaedibacterales,0
Absconditabacterales,UBA164,0
Absconditabacterales,HRBIN11,0
Absconditabacterales,Verrucomicrobiales,0
Absconditabacterales,Mor1,0
Absconditabacterales,Entotheonellales,0
Absconditabacterales,SG8-5,0
Absconditabacterales,Brevibacillales,0
Absconditabacterales,UBA5301,0
Absconditabacterales,UBA1113,0
Absconditabacterales,Latescibacterales,0
Absconditabacterales,UBA1845,0
Ignicoccales,SAR86,0
Ignicoccales,Campylobacterales,0
Ignicoccales,XYA12-FULL-58-9,0
Ignicoccales,UBA9655,0
Ignicoccales,Absconditabacterales,0
Ignicoccales,Ignicoccales,1
Ignicoccales,Cytophagales,0
Ignicoccales,Bryobacterales,0
Ignicoccales,UBA2169,0
Ignicoccales,Ammonifexales,0
Ignicoccales,2-02-FULL-40-12,0
Ignicoccales,Ryanbacterales,0
Ignicoccales,UBA7950,0
Ignicoccales,UBA4473,0
Ignicoccales,Rickettsiales,0
Ignicoccales,UBA6215,0
Ignicoccales,Streptomycetales,0
Ignicoccales,SZUA-140,0
Ignicoccales,Methanocellales,0
Ignicoccales,HP12,0
Ignicoccales,SW-10-69-26,0
Ignicoccales,UBA12178,0
Ignicoccales,UBA11654,0
Ignicoccales,GCA-2691085,0
Ignicoccales,UBA1551,0
Ignicoccales,O2-12-FULL-43-9,0
Ignicoccales,UM-FILTER-43-11,0
Ignicoccales,Oceanibaculales,0
Ignicoccales,Caulobacterales,0
Ignicoccales,2-12-FULL-37-12,0
Ignicoccales,UBA10353,0
Ignicoccales,Haliangiales,0
Ignicoccales,Aminicenantales,0
Ignicoccales,UBA920,0
Ignicoccales,Micavibrionales,0
Ignicoccales,Methylomirabilales,0
Ignicoccales,UBA5829,0
Ignicoccales,UBA6919,0
Ignicoccales,Paracaedibacterales,0
Ignicoccales,UBA164,0
Ignicoccales,HRBIN11,0
Ignicoccales,Verrucomicrobiales,0
Ignicoccales,Mor1,0
Ignicoccales,Entotheonellales,0
Ignicoccales,SG8-5,0
Ignicoccales,Brevibacillales,0
Ignicoccales,UBA5301,0
Ignicoccales,UBA1113,0
Ignicoccales,Latescibacterales,0
Ignicoccales,UBA1845,0
Cytophagales,SAR86,0
Cytophagales,Campylobacterales,-0.6399822039729579
Cytophagales,XYA12-FULL-58-9,0
Cytophagales,UBA9655,0
Cytophagales,Absconditabacterales,0
Cytophagales,Ignicoccales,0
Cytophagales,Cytophagales,1
Cytophagales,Bryobacterales,0.9105100700282733
Cytophagales,UBA2169,0
Cytophagales,Ammonifexales,0
Cytophagales,2-02-FULL-40-12,0
Cytophagales,Ryanbacterales,0
Cytophagales,UBA7950,0
Cytophagales,UBA4473,0
Cytophagales,Rickettsiales,0.7502247988753035
Cytophagales,UBA6215,0
Cytophagales,Streptomycetales,0.8841729175351568
Cytophagales,SZUA-140,0
Cytophagales,Methanocellales,0
Cytophagales,HP12,0
Cytophagales,SW-10-69-26,0
Cytophagales,UBA12178,0
Cytophagales,UBA11654,0
Cytophagales,GCA-2691085,0
Cytophagales,UBA1551,0
Cytophagales,O2-12-FULL-43-9,0
Cytophagales,UM-FILTER-43-11,0
Cytophagales,Oceanibaculales,0
Cytophagales,Caulobacterales,0.6734794550301872
Cytophagales,2-12-FULL-37-12,0
Cytophagales,UBA10353,0
Cytophagales,Haliangiales,0.7745409502052112
Cytophagales,Aminicenantales,0.5737656794162272
Cytophagales,UBA920,0
Cytophagales,Micavibrionales,0.6666347500558354
Cytophagales,Methylomirabilales,0
Cytophagales,UBA5829,0
Cytophagales,UBA6919,0
Cytophagales,Paracaedibacterales,0
Cytophagales,UBA164,0
Cytophagales,HRBIN11,0
Cytophagales,Verrucomicrobiales,0.6943967728627192
Cytophagales,Mor1,0
Cytophagales,Entotheonellales,0
Cytophagales,SG8-5,0
Cytophagales,Brevibacillales,0.2209623859611671
Cytophagales,UBA5301,0
Cytophagales,UBA1113,0
Cytophagales,Latescibacterales,0
Cytophagales,UBA1845,0
Bryobacterales,SAR86,0
Bryobacterales,Campylobacterales,-0.7227480890186985
Bryobacterales,XYA12-FULL-58-9,0
Bryobacterales,UBA9655,0
Bryobacterales,Absconditabacterales,0
Bryobacterales,Ignicoccales,0
Bryobacterales,Cytophagales,0.9105100700282733
Bryobacterales,Bryobacterales,1
Bryobacterales,UBA2169,0
Bryobacterales,Ammonifexales,0
Bryobacterales,2-02-FULL-40-12,0
Bryobacterales,Ryanbacterales,0
Bryobacterales,UBA7950,0
Bryobacterales,UBA4473,0
Bryobacterales,Rickettsiales,0.7947341083924527
Bryobacterales,UBA6215,0
Bryobacterales,Streptomycetales,0.9590225954504038
Bryobacterales,SZUA-140,0
Bryobacterales,Methanocellales,0
Bryobacterales,HP12,0
Bryobacterales,SW-10-69-26,0
Bryobacterales,UBA12178,0
Bryobacterales,UBA11654,0
Bryobacterales,GCA-2691085,0
Bryobacterales,UBA1551,0
Bryobacterales,O2-12-FULL-43-9,0
Bryobacterales,UM-FILTER-43-11,0
Bryobacterales,Oceanibaculales,0
Bryobacterales,Caulobacterales,0.6653678315831766
Bryobacterales,2-12-FULL-37-12,0
Bryobacterales,UBA10353,0
Bryobacterales,Haliangiales,0.8094935776693727
Bryobacterales,Aminicenantales,0.7023006282496634
Bryobacterales,UBA920,0
Bryobacterales,Micavibrionales,0.7537353578325073
Bryobacterales,Methylomirabilales,0
Bryobacterales,UBA5829,0
Bryobacterales,UBA6919,0
Bryobacterales,Paracaedibacterales,0
Bryobacterales,UBA164,0
Bryobacterales,HRBIN11,0
Bryobacterales,Verrucomicrobiales,0.5702536335059297
Bryobacterales,Mor1,0
Bryobacterales,Entotheonellales,0
Bryobacterales,SG8-5,0
Bryobacterales,Brevibacillales,0.28210376285074557
Bryobacterales,UBA5301,0
Bryobacterales,UBA1113,0
Bryobacterales,Latescibacterales,0
Bryobacterales,UBA1845,0
UBA2169,SAR86,0
UBA2169,Campylobacterales,0
UBA2169,XYA12-FULL-58-9,0
UBA2169,UBA9655,0
UBA2169,Absconditabacterales,0
UBA2169,Ignicoccales,0
UBA2169,Cytophagales,0
UBA2169,Bryobacterales,0
UBA2169,UBA2169,1
UBA2169,Ammonifexales,0
UBA2169,2-02-FULL-40-12,0
UBA2169,Ryanbacterales,0
UBA2169,UBA7950,0
UBA2169,UBA4473,0
UBA2169,Rickettsiales,0
UBA2169,UBA6215,0
UBA2169,Streptomycetales,0
UBA2169,SZUA-140,0
UBA2169,Methanocellales,0
UBA2169,HP12,0
UBA2169,SW-10-69-26,0
UBA2169,UBA12178,0
UBA2169,UBA11654,0
UBA2169,GCA-2691085,0
UBA2169,UBA1551,0
UBA2169,O2-12-FULL-43-9,0
UBA2169,UM-FILTER-43-11,0
UBA2169,Oceanibaculales,0
UBA2169,Caulobacterales,0
UBA2169,2-12-FULL-37-12,0
UBA2169,UBA10353,0
UBA2169,Haliangiales,0
UBA2169,Aminicenantales,0
UBA2169,UBA920,0
UBA2169,Micavibrionales,0
UBA2169,Methylomirabilales,0
UBA2169,UBA5829,0
UBA2169,UBA6919,0
UBA2169,Paracaedibacterales,0
UBA2169,UBA164,0
UBA2169,HRBIN11,0
UBA2169,Verrucomicrobiales,0
UBA2169,Mor1,0
UBA2169,Entotheonellales,0
UBA2169,SG8-5,0
UBA2169,Brevibacillales,0
UBA2169,UBA5301,0
UBA2169,UBA1113,0
UBA2169,Latescibacterales,0
UBA2169,UBA1845,0
Ammonifexales,SAR86,0
Ammonifexales,Campylobacterales,0
Ammonifexales,XYA12-FULL-58-9,0
Ammonifexales,UBA9655,0
Ammonifexales,Absconditabacterales,0
Ammonifexales,Ignicoccales,0
Ammonifexales,Cytophagales,0
Ammonifexales,Bryobacterales,0
Ammonifexales,UBA2169,0
Ammonifexales,Ammonifexales,1
Ammonifexales,2-02-FULL-40-12,0
Ammonifexales,Ryanbacterales,0
Ammonifexales,UBA7950,0
Ammonifexales,UBA4473,0
Ammonifexales,Rickettsiales,0
Ammonifexales,UBA6215,0
Ammonifexales,Streptomycetales,0
Ammonifexales,SZUA-140,0
Ammonifexales,Methanocellales,0
Ammonifexales,HP12,0
Ammonifexales,SW-10-69-26,0
Ammonifexales,UBA12178,0
Ammonifexales,UBA11654,0
Ammonifexales,GCA-2691085,0
Ammonifexales,UBA1551,0
Ammonifexales,O2-12-FULL-43-9,0
Ammonifexales,UM-FILTER-43-11,0
Ammonifexales,Oceanibaculales,0
Ammonifexales,Caulobacterales,0
Ammonifexales,2-12-FULL-37-12,0
Ammonifexales,UBA10353,0
Ammonifexales,Haliangiales,0
Ammonifexales,Aminicenantales,0
Ammonifexales,UBA920,0
Ammonifexales,Micavibrionales,0
Ammonifexales,Methylomirabilales,0
Ammonifexales,UBA5829,0
Ammonifexales,UBA6919,0
Ammonifexales,Paracaedibacterales,0
Ammonifexales,UBA164,0
Ammonifexales,HRBIN11,0
Ammonifexales,Verrucomicrobiales,0
Ammonifexales,Mor1,0
Ammonifexales,Entotheonellales,0
Ammonifexales,SG8-5,0
Ammonifexales,Brevibacillales,0
Ammonifexales,UBA5301,0
Ammonifexales,UBA1113,0
Ammonifexales,Latescibacterales,0
Ammonifexales,UBA1845,0
2-02-FULL-40-12,SAR86,0
2-02-FULL-40-12,Campylobacterales,0
2-02-FULL-40-12,XYA12-FULL-58-9,0
2-02-FULL-40-12,UBA9655,0
2-02-FULL-40-12,Absconditabacterales,0
2-02-FULL-40-12,Ignicoccales,0
2-02-FULL-40-12,Cytophagales,0
2-02-FULL-40-12,Bryobacterales,0
2-02-FULL-40-12,UBA2169,0
2-02-FULL-40-12,Ammonifexales,0
2-02-FULL-40-12,2-02-FULL-40-12,1
2-02-FULL-40-12,Ryanbacterales,0
2-02-FULL-40-12,UBA7950,0
2-02-FULL-40-12,UBA4473,0
2-02-FULL-40-12,Rickettsiales,0
2-02-FULL-40-12,UBA6215,0
2-02-FULL-40-12,Streptomycetales,0
2-02-FULL-40-12,SZUA-140,0
2-02-FULL-40-12,Methanocellales,0
2-02-FULL-40-12,HP12,0
2-02-FULL-40-12,SW-10-69-26,0
2-02-FULL-40-12,UBA12178,0
2-02-FULL-40-12,UBA11654,0
2-02-FULL-40-12,GCA-2691085,0
2-02-FULL-40-12,UBA1551,0
2-02-FULL-40-12,O2-12-FULL-43-9,0
2-02-FULL-40-12,UM-FILTER-43-11,0
2-02-FULL-40-12,Oceanibaculales,0
2-02-FULL-40-12,Caulobacterales,0
2-02-FULL-40-12,2-12-FULL-37-12,0
2-02-FULL-40-12,UBA10353,0
2-02-FULL-40-12,Haliangiales,0
2-02-FULL-40-12,Aminicenantales,0
2-02-FULL-40-12,UBA920,0
2-02-FULL-40-12,Micavibrionales,0
2-02-FULL-40-12,Methylomirabilales,0
2-02-FULL-40-12,UBA5829,0
2-02-FULL-40-12,UBA6919,0
2-02-FULL-40-12,Paracaedibacterales,0
2-02-FULL-40-12,UBA164,0
2-02-FULL-40-12,HRBIN11,0
2-02-FULL-40-12,Verrucomicrobiales,0
2-02-FULL-40-12,Mor1,0
2-02-FULL-40-12,Entotheonellales,0
2-02-FULL-40-12,SG8-5,0
2-02-FULL-40-12,Brevibacillales,0
2-02-FULL-40-12,UBA5301,0
2-02-FULL-40-12,UBA1113,0
2-02-FULL-40-12,Latescibacterales,0
2-02-FULL-40-12,UBA1845,0
Ryanbacterales,SAR86,0
Ryanbacterales,Campylobacterales,0
Ryanbacterales,XYA12-FULL-58-9,0
Ryanbacterales,UBA9655,0
Ryanbacterales,Absconditabacterales,0
Ryanbacterales,Ignicoccales,0
Ryanbacterales,Cytophagales,0
Ryanbacterales,Bryobacterales,0
Ryanbacterales,UBA2169,0
Ryanbacterales,Ammonifexales,0
Ryanbacterales,2-02-FULL-40-12,0
Ryanbacterales,Ryanbacterales,1
Ryanbacterales,UBA7950,0
Ryanbacterales,UBA4473,0
Ryanbacterales,Rickettsiales,0
Ryanbacterales,UBA6215,0
