row,col,val
Fusobacteriota,Fusobacteriota,1
Fusobacteriota,Aquificota,0
Fusobacteriota,UBA8481,0
Fusobacteriota,Spirochaetota,0.14361690718282902
Fusobacteriota,Poribacteria,0
Fusobacteriota,Firmicutes_E,-0.5234927416226959
Fusobacteriota,Deferribacterota,0
Fusobacteriota,Firmicutes_A,0.7592113897811118
Fusobacteriota,Thermoplasmatota,-0.40070079850574836
Fusobacteriota,AB1-6,0
Fusobacteriota,Tectomicrobia,0
Fusobacteriota,Thermodesulfobiota,0
Fusobacteriota,4572-55,0
Fusobacteriota,Krumholzibacteriota,0
Fusobacteriota,SZUA-182,0
Fusobacteriota,SM23-31,0
Fusobacteriota,sampleType,0
Fusobacteriota,UBP6,0
Fusobacteriota,Verrucomicrobiota,-0.522174761319001
Fusobacteriota,Goldbacteria,0
Fusobacteriota,Edwardsbacteria,0
Fusobacteriota,Crenarchaeota,-0.48000093714260894
Fusobacteriota,Deferrisomatota,0
Fusobacteriota,FCPU426,0
Fusobacteriota,Huberarchaeaota,0
Fusobacteriota,Nitrospinota,0
Fusobacteriota,OLB16,0
Fusobacteriota,Halobacterota,-0.10375142129609376
Fusobacteriota,Firestonebacteria,0
Fusobacteriota,EX4484-52,0
Fusobacteriota,UBP7_A,0
Fusobacteriota,Coprothermobacterota,0
Fusobacteriota,Bdellovibrionota,-0.5520614321825341
Fusobacteriota,Methylomirabilota,-0.775501871020915
Fusobacteriota,Firmicutes_F,0.26136793179517365
Fusobacteriota,UBA8248,0
Fusobacteriota,Cloacimonadota,0.23688449031380385
Fusobacteriota,UBA6262,0
Fusobacteriota,Aenigmarchaeota,0
Fusobacteriota,Dependentiae,0
Fusobacteriota,Firmicutes_B,0.2421438029812451
Fusobacteriota,Firmicutes_C,0.8532046129034695
Fusobacteriota,GCA-001730085,0
Fusobacteriota,Chrysiogenetota,0
Fusobacteriota,Gemmatimonadota_A,0
Fusobacteriota,Elusimicrobiota,-0.5655326675295342
Fusobacteriota,Margulisbacteria,0
Fusobacteriota,Caldatribacteriota,-0.06610080210655409
Fusobacteriota,AABM5-125-24,0
Fusobacteriota,Eisenbacteria,0
Aquificota,Fusobacteriota,0
Aquificota,Aquificota,1
Aquificota,UBA8481,0
Aquificota,Spirochaetota,0
Aquificota,Poribacteria,0
Aquificota,Firmicutes_E,0
Aquificota,Deferribacterota,0
Aquificota,Firmicutes_A,0
Aquificota,Thermoplasmatota,0
Aquificota,AB1-6,0
Aquificota,Tectomicrobia,0
Aquificota,Thermodesulfobiota,0
Aquificota,4572-55,0
Aquificota,Krumholzibacteriota,0
Aquificota,SZUA-182,0
Aquificota,SM23-31,0
Aquificota,sampleType,0
Aquificota,UBP6,0
Aquificota,Verrucomicrobiota,0
Aquificota,Goldbacteria,0
Aquificota,Edwardsbacteria,0
Aquificota,Crenarchaeota,0
Aquificota,Deferrisomatota,0
Aquificota,FCPU426,0
Aquificota,Huberarchaeaota,0
Aquificota,Nitrospinota,0
Aquificota,OLB16,0
Aquificota,Halobacterota,0
Aquificota,Firestonebacteria,0
Aquificota,EX4484-52,0
Aquificota,UBP7_A,0
Aquificota,Coprothermobacterota,0
Aquificota,Bdellovibrionota,0
Aquificota,Methylomirabilota,0
Aquificota,Firmicutes_F,0
Aquificota,UBA8248,0
Aquificota,Cloacimonadota,0
Aquificota,UBA6262,0
Aquificota,Aenigmarchaeota,0
Aquificota,Dependentiae,0
Aquificota,Firmicutes_B,0
Aquificota,Firmicutes_C,0
Aquificota,GCA-001730085,0
Aquificota,Chrysiogenetota,0
Aquificota,Gemmatimonadota_A,0
Aquificota,Elusimicrobiota,0
Aquificota,Margulisbacteria,0
Aquificota,Caldatribacteriota,0
Aquificota,AABM5-125-24,0
Aquificota,Eisenbacteria,0
UBA8481,Fusobacteriota,0
UBA8481,Aquificota,0
UBA8481,UBA8481,1
UBA8481,Spirochaetota,0
UBA8481,Poribacteria,0
UBA8481,Firmicutes_E,0
UBA8481,Deferribacterota,0
UBA8481,Firmicutes_A,0
UBA8481,Thermoplasmatota,0
UBA8481,AB1-6,0
UBA8481,Tectomicrobia,0
UBA8481,Thermodesulfobiota,0
UBA8481,4572-55,0
UBA8481,Krumholzibacteriota,0
UBA8481,SZUA-182,0
UBA8481,SM23-31,0
UBA8481,sampleType,0
UBA8481,UBP6,0
UBA8481,Verrucomicrobiota,0
UBA8481,Goldbacteria,0
UBA8481,Edwardsbacteria,0
UBA8481,Crenarchaeota,0
UBA8481,Deferrisomatota,0
UBA8481,FCPU426,0
UBA8481,Huberarchaeaota,0
UBA8481,Nitrospinota,0
UBA8481,OLB16,0
UBA8481,Halobacterota,0
UBA8481,Firestonebacteria,0
UBA8481,EX4484-52,0
UBA8481,UBP7_A,0
UBA8481,Coprothermobacterota,0
UBA8481,Bdellovibrionota,0
UBA8481,Methylomirabilota,0
UBA8481,Firmicutes_F,0
UBA8481,UBA8248,0
UBA8481,Cloacimonadota,0
UBA8481,UBA6262,0
UBA8481,Aenigmarchaeota,0
UBA8481,Dependentiae,0
UBA8481,Firmicutes_B,0
UBA8481,Firmicutes_C,0
UBA8481,GCA-001730085,0
UBA8481,Chrysiogenetota,0
UBA8481,Gemmatimonadota_A,0
UBA8481,Elusimicrobiota,0
UBA8481,Margulisbacteria,0
UBA8481,Caldatribacteriota,0
UBA8481,AABM5-125-24,0
UBA8481,Eisenbacteria,0
Spirochaetota,Fusobacteriota,0.14361690718282902
Spirochaetota,Aquificota,0
Spirochaetota,UBA8481,0
Spirochaetota,Spirochaetota,1
Spirochaetota,Poribacteria,0
Spirochaetota,Firmicutes_E,0.2562860815776416
Spirochaetota,Deferribacterota,0
Spirochaetota,Firmicutes_A,0.07604040893224215
Spirochaetota,Thermoplasmatota,0.390593279162573
Spirochaetota,AB1-6,0
Spirochaetota,Tectomicrobia,0
Spirochaetota,Thermodesulfobiota,0
Spirochaetota,4572-55,0
Spirochaetota,Krumholzibacteriota,0
Spirochaetota,SZUA-182,0
Spirochaetota,SM23-31,0
Spirochaetota,sampleType,0
Spirochaetota,UBP6,0
Spirochaetota,Verrucomicrobiota,0.5048273131975815
Spirochaetota,Goldbacteria,0
Spirochaetota,Edwardsbacteria,0
Spirochaetota,Crenarchaeota,0.2381575383025894
Spirochaetota,Deferrisomatota,0
Spirochaetota,FCPU426,0
Spirochaetota,Huberarchaeaota,0
Spirochaetota,Nitrospinota,0
Spirochaetota,OLB16,0
Spirochaetota,Halobacterota,0.7127331728988762
Spirochaetota,Firestonebacteria,0
Spirochaetota,EX4484-52,0
Spirochaetota,UBP7_A,0
Spirochaetota,Coprothermobacterota,0
Spirochaetota,Bdellovibrionota,0.12717112354727858
Spirochaetota,Methylomirabilota,0.1458011627355355
Spirochaetota,Firmicutes_F,0.37600863368488174
Spirochaetota,UBA8248,0
Spirochaetota,Cloacimonadota,0.7987116505218032
Spirochaetota,UBA6262,0
Spirochaetota,Aenigmarchaeota,0
Spirochaetota,Dependentiae,0
Spirochaetota,Firmicutes_B,0.8756569894627482
Spirochaetota,Firmicutes_C,0.1007291973006152
Spirochaetota,GCA-001730085,0
Spirochaetota,Chrysiogenetota,0
Spirochaetota,Gemmatimonadota_A,0
Spirochaetota,Elusimicrobiota,0.2447093082933373
Spirochaetota,Margulisbacteria,0
Spirochaetota,Caldatribacteriota,0.5371881203520273
Spirochaetota,AABM5-125-24,0
Spirochaetota,Eisenbacteria,0
Poribacteria,Fusobacteriota,0
Poribacteria,Aquificota,0
Poribacteria,UBA8481,0
Poribacteria,Spirochaetota,0
Poribacteria,Poribacteria,1
Poribacteria,Firmicutes_E,0
Poribacteria,Deferribacterota,0
Poribacteria,Firmicutes_A,0
Poribacteria,Thermoplasmatota,0
Poribacteria,AB1-6,0
Poribacteria,Tectomicrobia,0
Poribacteria,Thermodesulfobiota,0
Poribacteria,4572-55,0
Poribacteria,Krumholzibacteriota,0
Poribacteria,SZUA-182,0
Poribacteria,SM23-31,0
Poribacteria,sampleType,0
Poribacteria,UBP6,0
Poribacteria,Verrucomicrobiota,0
Poribacteria,Goldbacteria,0
Poribacteria,Edwardsbacteria,0
Poribacteria,Crenarchaeota,0
Poribacteria,Deferrisomatota,0
Poribacteria,FCPU426,0
Poribacteria,Huberarchaeaota,0
Poribacteria,Nitrospinota,0
Poribacteria,OLB16,0
Poribacteria,Halobacterota,0
Poribacteria,Firestonebacteria,0
Poribacteria,EX4484-52,0
Poribacteria,UBP7_A,0
Poribacteria,Coprothermobacterota,0
Poribacteria,Bdellovibrionota,0
Poribacteria,Methylomirabilota,0
Poribacteria,Firmicutes_F,0
Poribacteria,UBA8248,0
Poribacteria,Cloacimonadota,0
Poribacteria,UBA6262,0
Poribacteria,Aenigmarchaeota,0
Poribacteria,Dependentiae,0
Poribacteria,Firmicutes_B,0
Poribacteria,Firmicutes_C,0
Poribacteria,GCA-001730085,0
Poribacteria,Chrysiogenetota,0
Poribacteria,Gemmatimonadota_A,0
